"","subject","block","trial","rt","card1","card2","ch_card","unch_card","key1","key2","response_key","ch_key","unch_key","reward","reward_oneback","prob_ch","prob_unch","stay_card","stay_key","stay_unch","reoffer_ch_card","reoffer_unch_card","reoffer_ch_key","reoffer_unch_key","accuracy","delta_exp_value","number_inattention","instructions_mistakes","bonus","card_in_left","card_in_middle_left","card_in_middle_right","card_in_right","counterbalance_reward","counterbalance_stimuli","prob_reward_1","prob_reward_2","prob_reward_3","prob_reward_4"
"1",1,"1",1,924,"blue","orange","blue","orange","right","middle_right","k","right","middle_right","0",NA,0.235,0.596,NA,NA,NA,NA,NA,NA,NA,0,0.361,0,24,0,"null","null","orange","blue",1,1,0.725,0.525,0.596,0.235
"2",1,"1",2,2938,"blue","orange","orange","blue","middle_left","right","k","right","middle_left","1","0",0.24,0.55,0,1,0,1,1,1,0,0,0.31,0,24,0.005,"null","blue","null","orange",1,1,0.738,0.55,0.622,0.24
"3",1,"1",3,2521,"blue","orange","blue","orange","middle_left","middle_right","f","middle_left","middle_right","0","1",0.578,0.623,0,0,1,1,1,0,1,0,0.045,0,24,0,"null","blue","orange","null",1,1,0.749,0.578,0.623,0.215
"4",1,"1",4,3053,"blue","orange","blue","orange","left","right","s","left","right","0","0",0.715,0.202,1,0,0,1,1,0,0,1,0.513,0,24,0,"blue","null","null","orange",1,1,0.715,0.563,0.625,0.202
"5",1,"1",5,2657,"blue","orange","blue","orange","middle_left","left","f","middle_left","left","1","0",0.548,0.725,1,0,0,1,1,1,0,0,0.177,0,24,0.005,"orange","blue","null","null",1,1,0.725,0.548,0.637,0.202
"6",1,"1",6,1989,"blue","orange","blue","orange","middle_right","left","h","middle_right","left","1","1",0.658,0.73,1,0,0,1,1,0,1,0,0.072,0,24,0.005,"orange","null","blue","null",1,1,0.73,0.549,0.658,0.196
"7",1,"1",7,648,"blue","orange","blue","orange","right","middle_right","k","right","middle_right","1","1",0.215,0.721,1,0,0,1,1,1,0,0,0.506,0,24,0.005,"null","null","orange","blue",1,1,0.712,0.564,0.721,0.215
"8",1,"1",8,601,"blue","orange","blue","orange","left","right","s","left","right","0","1",0.663,0.224,1,0,0,1,1,1,0,1,0.439,0,24,0,"blue","null","null","orange",1,1,0.663,0.562,0.704,0.224
"9",1,"1",9,2005,"blue","orange","orange","blue","middle_left","middle_right","h","middle_right","middle_left","0","0",0.694,0.596,0,0,0,1,1,0,0,1,0.098,0,24,0,"null","blue","orange","null",1,1,0.665,0.596,0.694,0.267
"10",1,"1",10,910,"blue","orange","orange","blue","right","middle_left","f","middle_left","right","0","0",0.582,0.297,1,0,1,1,1,0,1,1,0.285,0,24,0,"null","orange","null","blue",1,1,0.697,0.582,0.712,0.297
"11",1,"1",11,899,"blue","orange","blue","orange","right","middle_right","k","right","middle_right","1","0",0.309,0.734,0,0,1,1,1,0,1,0,0.425,0,24,0.005,"null","null","orange","blue",1,1,0.711,0.574,0.734,0.309
"12",1,"1",12,1758,"blue","orange","orange","blue","middle_right","left","s","left","middle_right","0","1",0.734,0.74,0,0,0,1,1,0,1,0,0.00600000000000001,0,24,0,"orange","null","blue","null",1,1,0.734,0.576,0.74,0.306
"13",1,"1",13,1442,"blue","orange","blue","orange","middle_left","middle_right","f","middle_left","middle_right","1","0",0.59,0.743,0,0,0,1,1,0,1,0,0.153,0,24,0.005,"null","blue","orange","null",1,1,0.742,0.59,0.743,0.294
"14",1,"1",14,761,"blue","orange","blue","orange","middle_left","left","f","middle_left","left","0","1",0.603,0.741,1,1,0,1,1,1,0,0,0.138,0,24,0,"orange","blue","null","null",1,1,0.741,0.603,0.761,0.288
"15",1,"1",15,2124,"blue","orange","blue","orange","left","middle_left","s","left","middle_left","0","0",0.7,0.612,1,0,1,1,1,1,1,1,0.088,0,24,0,"blue","orange","null","null",1,1,0.7,0.612,0.788,0.268
"16",1,"1",16,1116,"blue","orange","blue","orange","right","left","k","right","left","0","0",0.271,0.706,1,0,0,1,1,1,0,0,0.435,0,24,0,"orange","null","null","blue",1,1,0.706,0.601,0.792,0.271
